lat,lon
41.70471,-8.798368
41.7046962,-8.7983582
41.7046825,-8.7983485
41.7046688,-8.7983387
41.704655,-8.798329
41.7046413,-8.7983192
41.7046275,-8.7983095
41.7046138,-8.7982997
41.7046,-8.79829
41.7045871,-8.7982805
41.7045743,-8.798271
41.7045614,-8.7982615
41.7045485,-8.798252
41.7045356,-8.7982425
41.7045228,-8.798233
41.7045099,-8.7982235
41.704497,-8.798214
41.7044838,-8.7982044
41.7044705,-8.7981948
41.7044573,-8.7981851
41.704444,-8.7981755
41.7044308,-8.7981659
41.7044175,-8.7981562
41.7044043,-8.7981466
41.704391,-8.798137
41.7043773,-8.7981274
41.7043635,-8.7981177
41.7043497,-8.7981081
41.704336,-8.7980985
41.7043222,-8.7980889
41.7043085,-8.7980793
41.7042948,-8.7980696
41.704281,-8.79806
41.7042679,-8.7980507
41.7042548,-8.7980415
41.7042416,-8.7980323
41.7042285,-8.798023
41.7042154,-8.7980138
41.7042022,-8.7980045
41.7041891,-8.7979952
41.704176,-8.797986
41.7041664,-8.7979789
41.7041567,-8.7979717
41.7041471,-8.7979646
41.7041375,-8.7979575
41.7041279,-8.7979504
41.7041183,-8.7979432
41.7041086,-8.7979361
41.704099,-8.797929
41.7040892,-8.7979218
41.7040795,-8.7979145
41.7040698,-8.7979073
41.70406,-8.7979
41.7040502,-8.7978927
41.7040405,-8.7978855
41.7040308,-8.7978783
41.704021,-8.797871
41.7040117,-8.7978644
41.7040025,-8.7978578
41.7039932,-8.7978511
41.703984,-8.7978445
41.7039748,-8.7978379
41.7039655,-8.7978312
41.7039562,-8.7978246
41.703947,-8.797818
41.7039398,-8.7978124
41.7039325,-8.7978067
41.7039252,-8.7978011
41.703918,-8.7977955
41.7039107,-8.7977899
41.7039035,-8.7977842
41.7038962,-8.7977786
41.703889,-8.797773
41.7038806,-8.7977669
41.7038723,-8.7977608
41.7038639,-8.7977546
41.7038555,-8.7977485
41.7038471,-8.7977424
41.7038388,-8.7977362
41.7038304,-8.7977301
41.703822,-8.797724
41.7038141,-8.7977175
41.7038062,-8.797711
41.7037984,-8.7977045
41.7037905,-8.797698
41.7037826,-8.7976915
41.7037747,-8.797685
41.7037669,-8.7976785
41.703759,-8.797672
41.7037496,-8.7976647
41.7037402,-8.7976575
41.7037309,-8.7976503
41.7037215,-8.797643
41.7037121,-8.7976358
41.7037028,-8.7976285
41.7036934,-8.7976212
41.703684,-8.797614
41.7036764,-8.7976084
41.7036688,-8.7976027
41.7036611,-8.7975971
41.7036535,-8.7975915
41.7036459,-8.7975859
41.7036382,-8.7975802
41.7036306,-8.7975746
41.703623,-8.797569
41.7036156,-8.7975631
41.7036083,-8.7975573
41.7036009,-8.7975514
41.7035935,-8.7975455
41.7035861,-8.7975396
41.7035787,-8.7975337
41.7035714,-8.7975279
41.703564,-8.797522
41.7035569,-8.7975176
41.7035498,-8.7975133
41.7035426,-8.7975089
41.7035355,-8.7975045
41.7035284,-8.7975001
41.7035213,-8.7974957
41.7035141,-8.7974914
41.703507,-8.797487
41.7034999,-8.79748
41.7034928,-8.797473
41.7034856,-8.797466
41.7034785,-8.797459
41.7034714,-8.797452
41.7034642,-8.797445
41.7034571,-8.797438
41.70345,-8.797431
41.7034421,-8.7974242
41.7034343,-8.7974175
41.7034264,-8.7974108
41.7034185,-8.797404
41.7034106,-8.7973972
41.7034027,-8.7973905
41.7033949,-8.7973837
41.703387,-8.797377
41.7033796,-8.7973711
41.7033723,-8.7973652
41.7033649,-8.7973594
41.7033575,-8.7973535
41.7033501,-8.7973476
41.7033427,-8.7973418
41.7033354,-8.7973359
41.703328,-8.79733
41.7033216,-8.7973248
41.7033153,-8.7973195
41.7033089,-8.7973142
41.7033025,-8.797309
41.7032961,-8.7973038
41.7032897,-8.7972985
41.7032834,-8.7972932
41.703277,-8.797288
41.7032686,-8.7972809
41.7032602,-8.7972737
41.7032519,-8.7972666
41.7032435,-8.7972595
41.7032351,-8.7972524
41.7032267,-8.7972452
41.7032184,-8.7972381
41.70321,-8.797231
41.7032029,-8.7972249
41.7031957,-8.7972187
41.7031886,-8.7972126
41.7031815,-8.7972065
41.7031744,-8.7972004
41.7031672,-8.7971943
41.7031601,-8.7971881
41.703153,-8.797182
41.7031461,-8.7971761
41.7031392,-8.7971703
41.7031324,-8.7971644
41.7031255,-8.7971585
41.7031186,-8.7971526
41.7031117,-8.7971467
41.7031049,-8.7971409
41.703098,-8.797135
41.7030934,-8.7971316
41.7030887,-8.7971283
41.7030841,-8.7971249
41.7030795,-8.7971215
41.7030749,-8.7971181
41.7030702,-8.7971147
41.7030656,-8.7971114
41.703061,-8.797108
41.7030524,-8.7970995
41.7030437,-8.797091
41.7030351,-8.7970825
41.7030265,-8.797074
41.7030179,-8.7970655
41.7030093,-8.797057
41.7030006,-8.7970485
41.702992,-8.79704
41.7029859,-8.7970345
41.7029797,-8.797029
41.7029736,-8.7970235
41.7029675,-8.797018
41.7029614,-8.7970125
41.7029553,-8.797007
41.7029491,-8.7970015
41.702943,-8.796996
41.7029359,-8.7969904
41.7029287,-8.7969848
41.7029216,-8.7969791
41.7029145,-8.7969735
